""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"symbol"
"MDC1"	-0.0783263298912669	9.73779382101754	-0.327333399397561	0.747744144822315	0.860122583017717	-6.28068522244325	"MDC1"
"PRRC1"	-0.0851433819669779	8.01439451106143	-0.327308603008536	0.747762541792855	0.860122583017717	-6.28069353213608	"PRRC1"
"IBTK"	-0.0789503756478895	10.575964957009	-0.327297902961855	0.747770480434709	0.860122583017717	-6.28069711771248	"IBTK"
"TBP"	-0.0713884734088506	9.57361641939336	-0.327015919803527	0.747979701630323	0.860313331627475	-6.28079156836714	"TBP"
"STXBP5L"	-0.113446593553915	5.77444291480188	-0.326698042493611	0.748215579415986	0.860470836666706	-6.28089794556808	"STXBP5L"
"DBR1"	-0.0809602552727806	6.84276672031254	-0.326585748731588	0.74829891210471	0.860470836666706	-6.28093550013599	"DBR1"
"TNNI3"	-0.138133322805903	7.21873472267698	-0.326539745694807	0.748333051680964	0.860470836666706	-6.28095088132324	"TNNI3"
"STAU1"	-0.0733334295833239	12.2172878043744	-0.326537955011185	0.748334380586366	0.860470836666706	-6.2809514799979	"STAU1"
"KIAA1804"	-0.110518475591686	4.85063955546372	-0.326489467926282	0.748370364222517	0.860470836666706	-6.2809676893301	"KIAA1804"
"LOC100996779"	-0.108522881322211	6.71403305343101	-0.326414822117529	0.748425762163493	0.860470836666706	-6.28099263893767	"LOC100996779"
"GNG4"	-0.140629686963697	4.39819106249619	-0.326365383535628	0.748462453496778	0.860470836666706	-6.28100916018752	"GNG4"
"DBH-AS1"	-0.142506909326255	6.05557688052979	-0.326363549297413	0.748463814806873	0.860470836666706	-6.28100977310075	"DBH-AS1"
"PRC1"	0.147006738105809	8.24012352046913	0.326204583791636	0.748581796945097	0.860556578723759	-6.28106287873964	"PRC1"
"BBS2"	0.10258374768879	9.30492605872092	0.326144918137594	0.74862608168893	0.860557594511456	-6.2810828046716	"BBS2"
"C7orf33"	-0.0642355303945159	5.23139485075565	-0.326080833941759	0.748673646954974	0.86056238097526	-6.2811042022156	"C7orf33"
"TSSC1"	0.0839113210326123	9.45286991015892	0.3259850623755	0.748744733521855	0.860579051345087	-6.28113617236027	"TSSC1"
"LOC284688"	0.10457084544835	3.577718493416	0.32589588918955	0.748810924540777	0.860579051345087	-6.28116593152987	"LOC284688"
"CIAO1"	0.068129566470757	10.8088116476182	0.325885876940752	0.748818356508815	0.860579051345087	-6.28116927234921	"CIAO1"
"IRX4"	-0.132470786632355	3.22075432858139	-0.325759092328054	0.748912469369768	0.860637327151024	-6.28121156822385	"IRX4"
"GRXCR1"	0.167828629905691	3.31800615311349	0.32562873349383	0.749009239675894	0.860698649915597	-6.28125503955067	"GRXCR1"
"SASS6"	-0.0941217741180177	7.29928888117848	-0.325531485077391	0.749081433690134	0.86073172619425	-6.28128745822791	"SASS6"
"CSGALNACT2"	-0.139296945841129	8.30894427574395	-0.32542892202283	0.749157575732762	0.860769334857114	-6.28132163824361	"CSGALNACT2"
"SLC25A2"	-0.0978664047475006	6.38866809711655	-0.325303653066102	0.749250578109718	0.860826310276943	-6.28136337078638	"SLC25A2"
"IL7R"	-0.129418632641576	10.2288677128307	-0.325210613486651	0.749319655293177	0.860855792638804	-6.28139435606582	"IL7R"
"NTN4"	-0.102967110612659	4.39697536851132	-0.325040569087227	0.749445910368311	0.860950956592287	-6.28145096392906	"NTN4"
"TNFAIP8"	0.104930000178887	9.62666855962644	0.324691739878828	0.749704933198931	0.861154517492295	-6.28156699795632	"TNFAIP8"
"GAA"	-0.0856422590038327	12.1377227990064	-0.324678225618704	0.749714968825217	0.861154517492295	-6.28157149084719	"GAA"
"SPICE1"	0.129254080213398	4.9512616751219	0.324598736881661	0.749773997730779	0.861154517492295	-6.28159791358678	"SPICE1"
